#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_khaz_modan;Khaz Modan;Khaz Modan;Khaz Modan;;Khaz Modan;;;;;;;;;x
k_kultiras;Kul Tiras;Kul Tiras;Kul Tiras;;Kul Tiras;;;;;;;;;x
k_dalaran;Dalaran;Dalaran;Dalaran;;Dalaran;;;;;;;;;x
k_gilneas;Gilneas;Gilneas;Gilneas;;Gilneas;;;;;;;;;x
k_alterac;Alterac;Alterac;Alterac;;Alterac;;;;;;;;;x
k_stromgarde;Stromgarde;Stromgarde;Stromgarde;;Stromgarde;;;;;;;;;x
k_tyrshand;Tyr's Hand;Tyr's Hand;Tyr's Hand;;Tyr's Hand;;;;;;;;;x
k_darrowmere;Darrowmere;Darrowmere;Darrowmere;;Darrowmere;;;;;;;;;x
k_stratholme;Stratholme;Stratholme;Stratholme;;Stratholme;;;;;;;;;x
k_lordaeron;Lordaeron;Lordaeron;Lordaeron;;Lordaeron;;;;;;;;;x
k_witherbark;Witherbark;Witherbark;Witherbark;;Witherbark;;;;;;;;;x
k_vilebranch;Vilebranch;Vilebranch;Vilebranch;;Vilebranch;;;;;;;;;x
k_mossflayer;Mossflayer;Mossflayer;Mossflayer;;Mossflayer;;;;;;;;;x
k_amani;Amani;Amani;Amani;;Amani;;;;;;;;;x
k_quelthalas;Quel'Thalas;Quel'Thalas;Quel'Thalas;;Quel'Thalas;;;;;;;;;x
k_revantusk;Revantusk;Revantusk;Revantusk;;Revantusk;;;;;;;;;x
k_church_of_the_holy_light;Church of the Holy Light;Church of the Holy Light;Church of the Holy Light;;Church of the Holy Light;;;;;;;;;x
